Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints' CE Primary School,22AYF0606899,"29,953.82 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church of England Academy,22AYF0611108,"36,768.55 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church of England Academy,22AYF0615546,"314,042.84 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church of England Academy,EUPS862561,"26,983.13 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church of England Infant Academy,22AYF0592631,"70,858.55 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints' Church of England Junior School,22AYF0592628,"127,325.72 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church of England Primary School,22AYF0589982,"33,686.12 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church of England Primary School,22AYF0597479,"83,740.77 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church of England Primary School,22AYF0600444,"110,899.29 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church of England Primary School,22AYF0607208,"60,473.82 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Church School,22AYF0609395,"60,921.04 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints CoE Laxfield Primary School,22AYF0585171,"33,490.64 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints CofE Primary School (Marsh),22AYF0598902,"31,943.05 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Hooton Pagnell C of E School,22AYF0597657,"28,689.99 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Interchurch Academy,22AYF0585156,"65,128.14 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Junior School,22AYF0585536,"28,851.16 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints National Academy,22AYF0607024,"102,567.07 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints RC High School,22AYF0605129,"235,905.27 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Saints Roman Catholic Primary School,22AYF0601285,"26,092.04 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,All Souls' CEP Primary School,22AYF0610986,"80,641.43 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,All Spring Media Ltd,FCSAPP A478078-A,"39,064.63 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allenbourn Middle School,22AYF0619247,"210,469.23 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allenton Primary School,22AYF0616556,"140,421.87 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allerton Bywater Primary School,22AYF0609846,"121,207.01 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allestree Woodlands School,22AYF0585225,"501,180.70 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allestree Woodlands School,22AYF0585228,"75,017.68 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alleyne's Academy,22AYF0585232,"305,814.52 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alleyne's Academy,22AYF0585234,"59,445.01 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allhallows Primary academy,22AYF0374682,"36,739.39 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allhallows Primary academy,22AYF0447967,"36,739.39 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allhallows Primary academy,EUPS832239,"-73,478.78 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ALLIANCE LEARNING LTD,FCSAPP A482284-A,"36,118.36 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allington Primary School,22AYF0602147,"133,103.49 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Allington Primary School,22AYF0602148,"28,871.45 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alma Primary,22AYF0585237,"65,002.74 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alma Primary School,22AYF0586493,"170,143.93 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Aloeric Primary School,22AYF0603644,"113,632.56 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alperton Community School,22AYF0585241,"787,850.65 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alperton Community School,22AYF0585242,"40,966.48 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alperton Community School,22AYF0585243,"128,172.73 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Alperton Community School,EUPS857185,"27,270.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Alperton Community School,EUPS893728,"28,710.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ALPHA CARE AGENCY LTD,FCSAPP A477006-A,"-116,943.66 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ALPHA CARE AGENCY LTD,FCSAPP A477007-A,"119,339.82 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alphington Primary School,22AYF0593900,"118,871.17 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alsager Highfields Community Primary School,22AYF0585286,"73,240.87 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alsager School,22AYF0585275,"110,383.01 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alsager School,22AYF0585279,"543,052.90 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alsagers Bank Primary Academy,22AYF0620181,"41,874.76 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alsop High School,22AYF0602117,"708,724.96 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alsop High School,22AYF0602120,"101,211.27 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Alsop High School,EUPS848476,"30,123.75 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Alsop High School,EUPS858242,"69,035.63 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alston Primary School,22AYF0599258,"240,793.24 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alt Academy,22AYF0612571,"116,264.76 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alton Park Junior School,22AYF0615109,"163,713.19 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham College of Arts,22AYF0606444,"52,636.21 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham College of Arts,22AYF0606446,"392,125.26 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham Grammar School for Boys,22AYF0612554,"379,571.39 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham Grammar School for Boys,22AYF0612555,"46,859.69 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham Grammar School for Boys,22AYF0612556,"139,055.52 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham Grammar School for Boys,EUPS892714,"30,543.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham Grammar School for Girls,22AYF0588334,"405,134.96 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham Grammar School for Girls,22AYF0588335,"52,606.94 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham Grammar School for Girls,22AYF0588336,"134,153.05 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Altrincham Grammar School for Girls,EUPS893152,"29,555.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altus Education Partnership,22AYF0585292,"732,952.53 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Altus Education Partnership,EUPS895837,"53,273.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Altus Education Partnership,EUPS897590,"150,528.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altwood CofE Secondary School,22AYF0585296,"50,745.09 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Altwood CofE Secondary School,22AYF0585299,"216,947.30 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alvaston Junior Academy,22AYF0612595,"116,540.15 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alvaston Moor Academy,22AYF0619882,"459,792.12 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alvaston Moor Academy,22AYF0619883,"41,745.73 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Alvaston Moor Academy,EUPS860707,"42,305.63 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alvechurch CofE Middle School,22AYF0585319,"149,853.09 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alvechurch CofE Middle School,22AYF0585320,"47,943.66 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,ALVELEY PRIMARY SCHOOL,22AYF0616846,"26,328.49 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Alverton Primary School,22AYF0616737,"102,150.47 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ALWAYS CONSULT LTD,FCSAPP A482206-A,"91,905.23 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Amber Valley & Erewash Support Centre,22AYF0593583,"124,999.95 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Ambergate Sports College,22AYF0590259,"125,833.28 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,18/05/2022,Grants Expenditure,ESFA Funding Directorate,Ambitious College,ED212220210535328,"61,944.00 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,18/05/2022,Grants Expenditure,ESFA Funding Directorate,Ambitious College,ED212220210535329,"65,407.76 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Ambleside Primary School,22AYF0604300,"235,786.02 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,AMERSHAM SCHOOL,22AYF0585386,"376,247.67 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,AMERSHAM SCHOOL,22AYF0585388,"50,655.84 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Amery Hill School,22AYF0585392,"418,305.01 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Amesbury Archer Primary School,22AYF0600133,"118,614.79 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Amherst School,22AYF0585409,"103,251.48 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Amherst School,22AYF0585410,"28,070.13 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anchorsholme Primary Academy,22AYF0614903,"178,839.26 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anchorsholme Primary Academy,22AYF0614904,"28,070.66 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANDREW COLLINGE TRAINING LTD,FCSAPP A487232-A,"29,083.77 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Angel Oak Academy,22AYF0608374,"191,878.15 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Angel Road Infant School,22AYF0593733,"69,192.77 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Angel Road Junior School,22AYF0593736,"112,209.95 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anglesey Primary Academy,22AYF0584406,"188,079.99 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANGLIA RUSKIN UNIVERSITY,FCSAPP A476398-A,"-46,946.22 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANGLIA RUSKIN UNIVERSITY,FCSAPP A476399-A,"94,110.31 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANGLIA RUSKIN UNIVERSITY,FCSAPP A482260-A,"69,474.66 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANGLIA RUSKIN UNIVERSITY,FCSAPP A482264-A,"719,444.51 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANGLIA RUSKIN UNIVERSITY,FCSAPP A482266-A,"25,778.09 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANGLIA RUSKIN UNIVERSITY,FCSAPP A487466-A,"34,790.62 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANGLIA RUSKIN UNIVERSITY,FCSAPP A487917-A,"-71,615.25 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,ANGLIA RUSKIN UNIVERSITY,FCSAPP A487918-A,"77,277.09 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anglo European School,22AYF0585496,"508,139.92 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anglo European School,22AYF0585498,"131,368.60 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Anglo European School,EUPS893332,"27,528.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Ankermoor Primary Academy,22AYF0594086,"45,380.68 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Annecy Catholic Primary School,22AYF0587854,"53,150.93 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Annfield Plain Infant School,22AYF0608215,"33,420.59 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Annfield Plain Junior School,22AYF0608219,"53,288.24 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Ansford Academy Trust,22AYF0585502,"259,691.23 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anson CofE Primary School,22AYF0615373,"30,696.57 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anston Brook Primary School,22AYF0619083,"56,165.71 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anston Greenlands Primary School,22AYF0589576,"62,518.36 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anston Hillcrest Primary School,22AYF0597661,"62,013.05 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anston Park Infant School,22AYF0619086,"53,330.83 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Anthony Curton CofE Primary School,22AYF0611119,"58,641.91 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,ESFA Funding Directorate,Antrec Ltd,FCSAEB A185345-A,"25,899.95 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,18/05/2022,Grants Expenditure,ESFA Funding Directorate,APCYMRU LTD,ED212220210535756,"730,959.67 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Appleby Grammar School,22AYF0585590,"136,877.38 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Applecroft School,22AYF0585596,"120,960.72 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Applegarth Academy,22AYF0608377,"172,398.12 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Appleton Academy,22AYF0593825,"579,951.86 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Appleton Academy,EUPS859057,"44,836.88 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Appleton Primary School,22AYF0610431,"96,415.01 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Appleton Roebuck Primary School,22AYF0615406,"35,925.60 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,Apprentice Funding Assistant Ltd,FCSAPP A485374-A,"86,296.12 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,APPRENTICESHIP RECRUITMENT SERVICE LTD,FCSAPP A482146-A,"45,560.73 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,Apprentify Limited,FCSAPP A477642-A,"59,779.99 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,Apprentify Limited,FCSAPP A483420-A,"25,198.73 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,Apprentify Limited,FCSAPP A483424-A,"87,644.85 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,APPRIS CHARITY LIMITED,FCSAPP A482087-A,"40,092.73 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,APPRIS CHARITY LIMITED,FCSAPP A482089-A,"26,179.78 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,APPRIS CHARITY LIMITED,FCSAPP A487300-A,"26,715.46 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,20/05/2022,Grants Expenditure,Apprenticeships,APPRIS CHARITY LIMITED,FCSAPP A487952-A,"27,043.64 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,18/05/2022,Grants Expenditure,ESFA Funding Directorate,AQUINAS COLLEGE,ED212220210535185,"1,174,910.03 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,18/05/2022,Grants Expenditure,ESFA Funding Directorate,AQUINAS COLLEGE,ED212220210535186,"34,800.00 ",Current grants - Private Sector,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Aragon Primary School,22AYF0616173,"174,333.31 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Arboretum Primary School,22AYF0591441,"200,364.80 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Arbour Vale School,22AYF0602204,"242,499.90 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Arbour Vale School,22AYF0602205,"28,333.32 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop Benson CofE Primary School,22AYF0585658,"128,420.36 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop Courtenay Primary School,22AYF0610950,"97,067.16 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop Cranmer Church of England Academy,22AYF0586135,"46,571.06 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,"Archbishop Holgate's School, A Church of England A",22AYF0603277,"648,742.48 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,"Archbishop Holgate's School, A Church of England A",22AYF0603279,"120,947.32 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,"Archbishop Holgate's School, A Church of England A",EUPS892814,"25,696.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop Ilsley Catholic School,22AYF0607768,"59,048.83 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop Ilsley Catholic School,22AYF0607771,"533,007.95 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,10/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop Ilsley Catholic School,EUPS857912,"39,150.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop of York's CE Junior School,22AYF0606584,"65,361.71 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop Sancroft High School,22AYF0611427,"216,320.90 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,ESFA,03/05/2022,Grants Expenditure,ESFA Funding Directorate,Archbishop Sentamu Academy,22AYF0605727,"684,544.97 ",Current grants - Academy Trust,,,,,,,,,
