Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,05/05/2022,Telecomms + IT non capital,Air Command,BANNER GROUP LIMITED,S9 1XU,623160,IT+Comms Internal Costs,£410.35
Ministry of Defence,Ministry of Defence,18/05/2022,Telecomms + IT non capital,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,625767,IT+Comms Internal Costs,£408.00
Ministry of Defence,Ministry of Defence,25/05/2022,Transportation + Movement,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007823,Civilian Detached Duty,£405.57
Ministry of Defence,Ministry of Defence,11/05/2022,P+M General Services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007778,P+M General Services,£405.11
Ministry of Defence,Ministry of Defence,10/05/2022,Transportation + Movement,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007769,Military Detached Duty,£392.53
Ministry of Defence,Ministry of Defence,25 May 2022,Administration Pmnts+Cash loss,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007823,Administration Pmnts,£389.94
Ministry of Defence,Ministry of Defence,09/05/2022,P+M General Services,Defence Nuclear Organisation,XMA LTD,NG11 7EP,623674,P+M General Services,£388.16
Ministry of Defence,Ministry of Defence,30/05/2022,Telecomms + IT non capital,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,627960,IT+Comms Internal Costs,£384.00
Ministry of Defence,Ministry of Defence,09/05/2022,Fees for Prof Services,Air Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,623543,Fees for Other Prof Services,£383.22
Ministry of Defence,Ministry of Defence,24/05/2022,Telecomms + IT non capital,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007817,IT+Comms Internal Costs,£380.76
Ministry of Defence,Ministry of Defence,03/05/2022,Med/Welfare/Soc+Rec Costs,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007755,Welfare Costs,£379.17
Ministry of Defence,Ministry of Defence,09/05/2022,Fuels Non Utilities Consumed,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007767,Fuels Non Utilities Consumed,£370.27
